,word,filepath,signer
0,aid,video_data/numpy_prob3/aid.npy,signer1
1,all,video_data/numpy_prob3/all.npy,signer1
2,bag,video_data/numpy_prob3/bag.npy,signer1
3,bag,video_data/numpy_prob3/bag.npy,signer1
4,bed,video_data/numpy_prob3/bed.npy,signer1
5,big,video_data/numpy_prob3/big.npy,signer1
6,boots,video_data/numpy_prob3/boots.npy,signer1
7,cab,video_data/numpy_prob3/cab.npy,signer1
8,can,video_data/numpy_prob3/can.npy,signer1
9,cell,video_data/numpy_prob3/cell.npy,signer1
10,copper,video_data/numpy_prob3/copper.npy,signer1
11,dog,video_data/numpy_prob3/dog.npy,signer1
12,fed,video_data/numpy_prob3/fed.npy,signer1
13,fleece,video_data/numpy_prob3/fleece.npy,signer1
14,fur,video_data/numpy_prob3/fur.npy,signer1
15,gold,video_data/numpy_prob3/gold.npy,signer1
16,hag,video_data/numpy_prob3/hag.npy,signer1
17,hid,video_data/numpy_prob3/hid.npy,signer1
18,jam,video_data/numpy_prob3/jam.npy,signer1
19,jig,video_data/numpy_prob3/jig.npy,signer1
20,kid,video_data/numpy_prob3/kid.npy,signer1
21,leg,video_data/numpy_prob3/leg.npy,signer1
22,lid,video_data/numpy_prob3/lid.npy,signer1
23,pig,video_data/numpy_prob3/pig.npy,signer1
24,rig,video_data/numpy_prob3/rig.npy,signer1
25,sip,video_data/numpy_prob3/sip.npy,signer1
26,tip,video_data/numpy_prob3/tip.npy,signer1
27,bad,video_data/numpy_prob3/bad.npy,signer2
28,city,video_data/numpy_prob3/city.npy,signer2
29,college,video_data/numpy_prob3/college.npy,signer2
30,country,video_data/numpy_prob3/country.npy,signer2
31,cut,video_data/numpy_prob3/cut.npy,signer2
32,executive,video_data/numpy_prob3/executive.npy,signer2
33,expert,video_data/numpy_prob3/expert.npy,signer2
34,explain,video_data/numpy_prob3/explain.npy,signer2
35,him,video_data/numpy_prob3/him.npy,signer2
36,how,video_data/numpy_prob3/how.npy,signer2
37,however,video_data/numpy_prob3/however.npy,signer2
38,join,video_data/numpy_prob3/join.npy,signer2
39,law,video_data/numpy_prob3/law.npy,signer2
40,major,video_data/numpy_prob3/major.npy,signer2
41,meet,video_data/numpy_prob3/meet.npy,signer2
42,much,video_data/numpy_prob3/much.npy,signer2
43,name,video_data/numpy_prob3/name.npy,signer2
44,physical,video_data/numpy_prob3/physical.npy,signer2
45,seem,video_data/numpy_prob3/seem.npy,signer2
46,size,video_data/numpy_prob3/size.npy,signer2
47,test,video_data/numpy_prob3/test.npy,signer2
48,that,video_data/numpy_prob3/that.npy,signer2
49,they,video_data/numpy_prob3/they.npy,signer2
50,thing,video_data/numpy_prob3/thing.npy,signer2
51,well,video_data/numpy_prob3/well.npy,signer2
52,why,video_data/numpy_prob3/why.npy,signer2
53,could,video_data/numpy_prob3/could.npy,signer3
54,country,video_data/numpy_prob3/country.npy,signer3
55,do,video_data/numpy_prob3/do.npy,signer3
56,executive,video_data/numpy_prob3/executive.npy,signer3
57,however,video_data/numpy_prob3/however.npy,signer3
58,lose,video_data/numpy_prob3/lose.npy,signer3
59,major,video_data/numpy_prob3/major.npy,signer3
60,name,video_data/numpy_prob3/name.npy,signer3
61,say,video_data/numpy_prob3/say.npy,signer3
